"id","platform","carousel","slide","stage","width","height","filename","path","headline","body","cta","qualifier","caption","alt","bytes"
"11","instagram","2","5","consideration","1080","1350","IG_11_Rough_Idea_To_Structured_Prompt.png","Instagram/02_Deck_and_Control/IG_11_Rough_Idea_To_Structured_Prompt.png","Rough idea → structured prompt.","Turn on Prompt from the Island, dictate the idea, and Mumble shapes it into a structured AI prompt.","Say it before you overthink it","Prompt shaping requires a configured provider or compatible local model; provider charges may apply.","Turn on Prompt from the Island, dictate the rough idea, and Mumble shapes it into a structured AI prompt with a clearer role, task, and constraints. #PromptEngineering #Mumble","A purple Prompt chip beside a rough dictated idea and structured role, task, and constraints fields.","687145"
"12","instagram","2","6","awareness","1080","1350","IG_12_A_Meeting_Is_More_Than_Audio.png","Instagram/02_Deck_and_Control/IG_12_A_Meeting_Is_More_Than_Audio.png","A meeting is more than audio.","Record up to four hours from your selected microphone—or import an audio file—then transcribe, replay, and review speaker-labelled segments.","Open Meetings","","Record room audio from the selected microphone or import an audio file, then transcribe, replay, and review speaker-labelled segments in Mumble. #MeetingNotes #Transcription","A meeting flow showing selected-microphone recording or audio import, transcript segments with speaker labels, replay, and processing icons.","666661"
"13","instagram","3","1","consideration","1080","1350","IG_13_From_Meeting_To_Next_Steps.png","Instagram/03_Meetings_and_More/IG_13_From_Meeting_To_Next_Steps.png","From meeting to next steps.","With an AI provider configured, summarise and extract action items, key decisions, and open questions.","Leave with the work clear","Requires a configured AI provider; provider charges may apply.","With an AI provider configured, Mumble can turn a meeting transcript into a summary, action items, key decisions, and open questions. #MeetingProductivity #ActionItems","A speaker-labelled meeting transcript feeding summary, action items, key decisions, and open questions cards.","600352"
"14","instagram","3","2","awareness","1080","1350","IG_14_Read_11_File_Formats_Aloud.png","Instagram/03_Meetings_and_More/IG_14_Read_11_File_Formats_Aloud.png","Read 11 file formats aloud.","PDF, DOCX, EPUB, HTML, RTF, Markdown, TXT, CSV, ODT, PPTX, and XLSX.","Open it in Reader","Voice playback requires a configured TTS provider; provider charges may apply.","Open PDF, DOCX, EPUB, HTML, RTF, Markdown, TXT, CSV, ODT, PPTX, or XLSX in Mumble Reader and follow the live word highlight. #TextToSpeech #Reader","Eleven file-format badges surrounding a document with one word highlighted in gold.","555347"
"15","instagram","3","3","awareness","1080","1350","IG_15_Search_What_You_See_Or_Say.png","Instagram/03_Meetings_and_More/IG_15_Search_What_You_See_Or_Say.png","Search what you see—or say.","Highlight text and press Ctrl+Alt+S, or speak a query. Choose Perplexity, Google, or Brave.","Search without retyping","","Highlight text and press Ctrl+Alt+S—or speak a query when nothing is selected. Mumble can search with Perplexity, Google, or Brave. #SearchTips #VoiceSearch","Highlighted text and a gold waveform converging into a search bar with Perplexity, Google, and Brave labels.","543880"
"16","instagram","3","4","consideration","1080","1350","IG_16_Your_Voice_Workflow_In_Numbers.png","Instagram/03_Meetings_and_More/IG_16_Your_Voice_Workflow_In_Numbers.png","Your voice workflow, in numbers.","Track words, pace, streaks, activity, and mode mix. Time saved stays clearly labelled as an estimate.","See your Stats","","Mumble Stats tracks words, pace, streaks, activity, and mode mix from your usage. Time saved remains clearly labelled as an estimate—because trust beats hype. #PersonalAnalytics","A black-and-gold Stats dashboard with words, pace, streak, activity, mode mix, and an Estimated badge.","629864"
"17","instagram","3","5","conversion","1080","1350","IG_17_Free_Windows_No_Account.png","Instagram/03_Meetings_and_More/IG_17_Free_Windows_No_Account.png","Free Windows download. No account to start.","Mumble is free to download for Windows. Its code is MIT-licensed, and Local mode needs no account or API key.","Download Mumble","","Mumble is free to download for Windows. Its code is MIT-licensed, and Local mode needs no account or API key to start. #Windows #VoiceToText","The Mumble icon beside Free Windows download, MIT-licensed code, and No account for Local mode badges.","598073"
"18","instagram","3","6","conversion","1080","1350","IG_18_Ready_When_Your_Cursor_Is.png","Instagram/03_Meetings_and_More/IG_18_Ready_When_Your_Cursor_Is.png","Ready when your cursor is.","Install Mumble, press Ctrl+Win, and start dictating into the app already in front of you.","Download for Windows — Free","","Install Mumble, place your cursor where you want the words, and press Ctrl+Win. Voice-to-text starts where your work already is. Download for Windows—free. #Mumble","A Mumble download card with a Ctrl plus Win keycap, floating Island, and blinking cursor.","629668"
"19","x","4","1","consideration","1920","1080","X_19_The_Mumble_Data_Path.png","X/04_Architecture_and_Choice/X_19_The_Mumble_Data_Path.png","The Mumble data path, in one diagram.","Voice → Local transcription by default → optional text polish → cursor. Cloud transcription is a separate opt-in.","See exactly what moves","Optional AI shaping requires a configured provider or compatible local model; provider charges may apply.","Voice → Local transcription by default → optional text polish → cursor. Cloud transcription is a separate opt-in.","A technical pipeline showing voice, default local transcription, optional text polish, and text pasted at the cursor.","735673"
"20","x","4","2","conversion","1920","1080","X_20_Local_By_Default_Cloud_By_Choice.png","X/04_Architecture_and_Choice/X_20_Local_By_Default_Cloud_By_Choice.png","Local by default. Cloud by choice.","Use on-device faster-whisper, or explicitly select Cloud transcription with a supported provider.","Set your transcription lane","Cloud transcription requires a configured provider; provider charges may apply.","Use on-device faster-whisper by default, or explicitly select Cloud transcription with a supported provider. Mumble makes the choice visible instead of burying it.","Parallel Local and Cloud transcription lanes with Local visibly selected as the default.","827130"
"21","x","4","3","conversion","1920","1080","X_21_Your_AI_Key_Your_Provider.png","X/04_Architecture_and_Choice/X_21_Your_AI_Key_Your_Provider.png","Your AI key. Your provider.","AI shaping is optional. In cloud Pro Mode, Mumble sends transcript text—not audio—to the supported provider you select.","Bring your own AI","Requires a configured AI provider; provider charges may apply.","AI shaping is optional. In cloud Pro Mode, Mumble sends transcript text—not audio—to the supported provider you choose, using your own key.","A transcript text card branching to several provider-neutral AI chips while the audio waveform remains local.","684105"
"22","x","4","4","conversion","1920","1080","X_22_MIT_Licensed_Free_To_Start.png","X/04_Architecture_and_Choice/X_22_MIT_Licensed_Free_To_Start.png","MIT-licensed. Free to start.","Mumble's code carries the MIT Licence. The Windows download is free, and Local mode needs no account or API key.","Download for Windows","","Mumble's code carries the MIT Licence. The Windows download is free, and Local mode needs no account or API key.","The Mumble icon over a black-and-gold card labelled MIT-licensed, Free Windows download, and No account for Local mode.","679469"
"23","x","4","5","awareness","1920","1080","X_23_Four_Defaults_Worth_Remembering.png","X/04_Architecture_and_Choice/X_23_Four_Defaults_Worth_Remembering.png","Four defaults worth remembering.","Ctrl+Win record · Ctrl+Alt+V paste latest · Ctrl+Alt+D Deck · Ctrl+Alt+S search.","Save this shortcut card","","Mumble defaults: Ctrl+Win record · Ctrl+Alt+V paste latest · Ctrl+Alt+D open Deck · Ctrl+Alt+S search. Save the card; customise them in Settings.","Four glass keycap tiles labelled Record, Paste latest, Deck, and Search with their default shortcuts.","766280"
"24","x","4","6","awareness","1920","1080","X_24_A_Layer_Not_A_Destination.png","X/04_Architecture_and_Choice/X_24_A_Layer_Not_A_Destination.png","Mumble is a layer, not a destination.","Dictate into email, chat, documents, code editors, or another focused text field.","Keep your workflow. Add voice.","","Mumble does not ask you to write inside a new editor. It sits over the workflow you already have and pastes at the focused cursor.","The Mumble Island floating above generic email, chat, document, and code-editor windows.","853654"
"25","x","5","1","consideration","1920","1080","X_25_Say_It_Then_Clean_It.png","X/05_Workflows_and_Reuse/X_25_Say_It_Then_Clean_It.png","What you say isn't what you have to paste.","Local cleanup fixes punctuation and capitalisation; optional AI can reshape the text further.","Speak naturally","Optional AI shaping requires a configured provider or compatible local model; provider charges may apply.","Speak naturally. Mumble's local cleanup handles punctuation and capitalisation; optional AI can reshape the transcript further when you choose it.","An example raw dictation beside a clean, punctuated paragraph labelled Local cleanup and Optional AI.","753203"
"26","x","5","2","consideration","1920","1080","X_26_20_Built_In_5_Custom.png","X/05_Workflows_and_Reuse/X_26_20_Built_In_5_Custom.png","20 built-ins. 5 of your own.","Summarise, Focus, Deep Thinking, Reply, Improve, Action items, Humanise, Merge, and more.","Build your preset row","AI transformations require a configured provider or compatible local model; provider charges may apply.","Mumble ships with 20 built-in text presets and five custom slots. Summarise, Focus, Reply, Improve, Action items, Humanise, Merge—and more.","A grid of twenty labelled Mumble preset chips followed by five outlined custom preset slots.","678081"
"27","x","5","3","consideration","1920","1080","X_27_Select_Several_Press_Go.png","X/05_Workflows_and_Reuse/X_27_Select_Several_Press_Go.png","Select several items. Press Go.","Combine transcript, clipboard, and prompt items; choose a preset or action; return the result to your cursor.","Turn fragments into output","AI transformations require a configured provider or compatible local model; provider charges may apply.","Tick transcripts, clipboard items, or saved prompts in the Deck. Choose a preset or action, press Go, and return one result to your cursor.","Checked transcript, clipboard, and prompt rows converging into one polished output card.","712773"
"28","x","5","4","consideration","1920","1080","X_28_Keep_Both_Versions.png","X/05_Workflows_and_Reuse/X_28_Keep_Both_Versions.png","Keep both versions.","History can show Pre-AI and Post-AI text, keeping the raw transcript visible beside the polished output.","Compare before you reuse","AI-polished output requires a configured provider or compatible local model; provider charges may apply.","Mumble History can show Pre-AI and Post-AI text. Compare the raw transcript with the polished output before you reuse it.","A Pre-AI to Post-AI toggle above raw transcript and polished-output panels.","775930"
"29","x","5","5","consideration","1920","1080","X_29_One_Meeting_Five_Exports.png","X/05_Workflows_and_Reuse/X_29_One_Meeting_Five_Exports.png","One meeting. Five export routes.","Export to TXT, Markdown, JSON, HTML, or the clipboard.","Send it to the next tool","","A Mumble meeting can leave as TXT, Markdown, JSON, HTML, or clipboard text. Pick the format the next tool needs.","A meeting transcript branching into TXT, Markdown, JSON, HTML, and clipboard export tiles.","691174"
"30","x","5","6","consideration","1920","1080","X_30_Reader_Remembers_The_Page.png","X/05_Workflows_and_Reuse/X_30_Reader_Remembers_The_Page.png","Your Reader remembers the page.","The document library tracks progress and resumes where you left off.","Close it. Come back later.","Voice playback requires a configured TTS provider; provider charges may apply.","Mumble Reader keeps a document library, tracks progress, and resumes where you left off. Close the document; come back when you are ready.","A Mumble Reader library card with a bookmark and gold reading-progress track.","680323"
"31","x","6","1","consideration","1920","1080","X_31_History_That_Stays_Useful.png","X/06_Beyond_Dictation/X_31_History_That_Stays_Useful.png","History that stays useful.","Search, filter, sort, favourite, and review transcript details including words, duration, and WPM.","Find the line again","","Search, filter, sort, and favourite Mumble history. Review transcript details such as words, duration, and WPM when you need the line again.","Mumble History with a search field, filter chips, favourite star, and transcript metadata.","742166"
"32","x","6","2","awareness","1920","1080","X_32_Local_Transcription_Sized_To_The_Machine.png","X/06_Beyond_Dictation/X_32_Local_Transcription_Sized_To_The_Machine.png","Local transcription sized to the machine.","Mumble supports hardware-aware local model tiers, from lighter models to higher-accuracy options.","Choose the fit in Settings","","Mumble supports hardware-aware local transcription tiers, from lighter models to higher-accuracy options. Choose the fit in Settings—without invented speed claims.","Weak, Mid, and Powerful hardware tier cards connected to progressively larger local transcription model blocks.","822982"
"33","x","6","3","conversion","1920","1080","X_33_No_Account_No_Telemetry.png","X/06_Beyond_Dictation/X_33_No_Account_No_Telemetry.png","No account required. No telemetry.","Core settings, history, and statistics are stored on your device.","Use it without signing in","","No account is required to start Mumble, and the app has no telemetry. Core settings, history, and statistics are stored on your device.","A device-shaped vault containing Settings, History, and Stats file cards with a No telemetry badge.","651508"
"34","x","6","4","consideration","1920","1080","X_34_Stats_That_Label_Estimates.png","X/06_Beyond_Dictation/X_34_Stats_That_Label_Estimates.png","A stats page that labels estimates.","Words and usage come from local activity; time saved is explicitly presented as estimated.","Proof over hype","","Mumble's words and usage stats come from local activity. Time saved is explicitly labelled as estimated—because a useful number should also be an honest one.","A Stats dashboard with local-activity tiles and a clearly visible Estimated label on time saved.","657762"
"35","x","6","5","conversion","1920","1080","X_35_Windows_Dictation_Free.png","X/06_Beyond_Dictation/X_35_Windows_Dictation_Free.png","Windows dictation. Free to download.","MIT-licensed Windows dictation, free to download, with no account or API key required for Local mode.","Download Mumble — Free","","Mumble is MIT-licensed Windows voice-to-text, free to download, with no account or API key required for Local mode. Place the cursor and press Ctrl+Win.","A wide Mumble download hero with the app icon, floating Island, Windows badge, and gold download button.","784648"
"36","tiktok","7","1","awareness","1080","1920","TT_36_Thoughts_Should_Not_Wait.png","TikTok/07_Voice_First/TT_36_Thoughts_Should_Not_Wait.png","Your thought shouldn't wait for a blank page.","Press Ctrl+Win. Speak it. Let clean text land at the cursor.","Try the voice-first workflow","","Blank page? Press Ctrl+Win, speak the thought, and let Mumble place clean text at the cursor. #VoiceToText #Windows #Productivity","A tall blank document crossed by a gold waveform that resolves into clean text at a cursor.","857168"
"37","tiktok","7","2","awareness","1080","1920","TT_37_Press_Speak_Press_Again.png","TikTok/07_Voice_First/TT_37_Press_Speak_Press_Again.png","Press. Speak. Press again.","That is Mumble's everyday dictation loop.","Save this shortcut","","Ctrl+Win → speak → Ctrl+Win again. That is the everyday Mumble loop. Save this for your next Windows setup. #WindowsTips #Dictation","Three vertical panels showing a Ctrl plus Win keycap, a listening waveform, and a pasted confirmation.","729836"
"38","tiktok","7","3","awareness","1080","1920","TT_38_One_Voice_Four_Workspaces.png","TikTok/07_Voice_First/TT_38_One_Voice_Four_Workspaces.png","One voice. Four workspaces.","Email · chat · document · code editor. Mumble types into the focused field.","Keep the apps you already use","","Email, chat, document, code editor—Mumble types into the focused field instead of moving your work into another app. #Workflow #VoiceTyping","A vertical cascade of generic email, chat, document, and code windows under the Mumble Island.","864348"
"39","tiktok","7","4","awareness","1080","1920","TT_39_Messy_Thought_Clean_Paragraph.png","TikTok/07_Voice_First/TT_39_Messy_Thought_Clean_Paragraph.png","Messy thought in. Clean paragraph out.","Speak naturally; Mumble handles the first cleanup pass.","Stop editing the first draft in your head","Optional AI shaping requires a configured provider or compatible local model; provider charges may apply.","Say the rough version first. Mumble handles the initial punctuation and capitalisation cleanup, with optional AI shaping when you choose it. #WritingTips","A rough dictated phrase transforming into a clean, punctuated paragraph labelled Example.","815218"
"40","tiktok","7","5","awareness","1080","1920","TT_40_What_Leaves_Your_PC.png","TikTok/07_Voice_First/TT_40_What_Leaves_Your_PC.png","What actually leaves your PC?","Local STT: audio stays. Cloud STT: audio is sent only when selected. Cloud Pro Mode: transcript text goes to your chosen AI.","Privacy should be understandable","Cloud transcription and cloud AI require configured providers; provider charges may apply.","Local STT keeps audio on-device. Cloud STT sends audio only when selected. Cloud Pro Mode sends transcript text to your chosen AI. Clear lanes matter. #Privacy","Three labelled data lanes for Local transcription, optional Cloud transcription, and optional cloud AI polish.","880751"
"41","tiktok","8","1","awareness","1080","1920","TT_41_Deck_Is_Your_Working_Memory.png","TikTok/08_Deck_and_Meetings/TT_41_Deck_Is_Your_Working_Memory.png","The Deck is your working memory.","Transcripts, clipboard items, prompts, and favourites—searchable in one panel.","Open with Ctrl+Alt+D","","Transcripts, clipboard items, saved prompts, and favourites—all searchable in the Deck. Open it with Ctrl+Alt+D. #ProductivityApp #Mumble","A tall Mumble Deck showing searchable transcript, clipboard, prompt, and favourite cards.","884948"
"42","tiktok","8","2","awareness","1080","1920","TT_42_Copied_Yesterday_Find_Today.png","TikTok/08_Deck_and_Meetings/TT_42_Copied_Yesterday_Find_Today.png","Copied it yesterday? Find it today.","Mumble's clipboard history can retain copied text and images.","Search the Deck","","Copied text and images can stay searchable inside Mumble's clipboard history. Open the Deck instead of copying everything twice. #Clipboard #WindowsApps","A dated vertical timeline of copied text cards and abstract image thumbnails in the Deck.","700904"
"43","tiktok","8","3","consideration","1080","1920","TT_43_The_Four_Step_Reuse_Loop.png","TikTok/08_Deck_and_Meetings/TT_43_The_Four_Step_Reuse_Loop.png","The four-step reuse loop.","Highlight → Capture → choose a preset → paste the result.","Make existing text useful again","AI transformations require a configured provider or compatible local model; provider charges may apply.","Highlight → Capture → choose a preset → paste the result. Mumble turns existing text into usable input for the next task. #WorkflowHack #TextTools","Four numbered vertical stages showing Highlight, Capture, Preset, and Paste.","700108"
"44","tiktok","8","4","awareness","1080","1920","TT_44_Do_Not_Stop_At_The_Transcript.png","TikTok/08_Deck_and_Meetings/TT_44_Do_Not_Stop_At_The_Transcript.png","Don't stop at the transcript.","Record microphone audio or import a recording. Mumble can apply speaker labels; with AI configured, summarise and extract actions, decisions, and questions.","Turn the meeting into next steps","Meeting analysis requires a configured AI provider; provider charges may apply.","Record from the selected microphone or import audio. Mumble can apply speaker labels; with AI configured, it can summarise and extract actions, decisions, and open questions. #MeetingNotes #ActionItems","Speaker-labelled transcript cards feeding action item, decision, summary, and open-question cards.","798750"
"45","tiktok","8","5","awareness","1080","1920","TT_45_PDF_Today_PPTX_Tomorrow.png","TikTok/08_Deck_and_Meetings/TT_45_PDF_Today_PPTX_Tomorrow.png","PDF today. PPTX tomorrow.","Reader supports 11 formats and highlights each word during playback.","Build a reading library","Voice playback requires a configured TTS provider; provider charges may apply.","PDF, DOCX, EPUB, HTML, RTF, Markdown, TXT, CSV, ODT, PPTX, XLSX—Mumble Reader supports all 11 with live word highlighting. #Reader #TextToSpeech","A vertical stream of eleven file-format badges entering a document with a gold-highlighted word.","695126"
"46","tiktok","9","1","awareness","1080","1920","TT_46_Search_Without_Retyping.png","TikTok/09_Search_and_Download/TT_46_Search_Without_Retyping.png","Search without retyping the query.","Highlight text or speak it; send the search to Perplexity, Google, or Brave.","Press Ctrl+Alt+S","","Highlight a query or speak it, then send the search to Perplexity, Google, or Brave with Ctrl+Alt+S. #VoiceSearch #WindowsTips","Highlighted text and a voice waveform entering a vertical search card with three engine labels.","653279"
"47","tiktok","9","2","consideration","1080","1920","TT_47_There_Is_A_Preset_For_That.png","TikTok/09_Search_and_Download/TT_47_There_Is_A_Preset_For_That.png","There is probably a preset for that.","Summarise · Focus · Reply · Improve · Humanise · Merge · Action items—and more.","Pick one. Press Go.","AI transformations require a configured provider or compatible local model; provider charges may apply.","Summarise, Focus, Reply, Improve, Humanise, Merge, Action items—and more. Mumble has 20 built-ins plus five custom slots. #WritingTools","A tall scrolling wall of Mumble preset chips with five custom slots at the bottom.","785777"
"48","tiktok","9","3","conversion","1080","1920","TT_48_Three_Reasons_To_Try_Mumble.png","TikTok/09_Search_and_Download/TT_48_Three_Reasons_To_Try_Mumble.png","Three reasons to try Mumble now.","Free Windows download · MIT-licensed code · no account or API key required for Local mode.","Download Mumble","","Free Windows download. MIT-licensed code. No account or API key required for Local mode. Three clear reasons to try Mumble. #FreeSoftware #Windows","Three numbered proof cards labelled Free Windows download, MIT-licensed code, and No account or API key for Local mode.","793195"
"49","tiktok","9","4","conversion","1080","1920","TT_49_Before_You_Install_The_Facts.png","TikTok/09_Search_and_Download/TT_49_Before_You_Install_The_Facts.png","Before you install, here are the facts.","Windows now · free download · MIT-licensed code · no account or API key for Local mode. Cloud transcription and AI polish are optional.","Choose the setup that fits","Cloud transcription and cloud AI require configured providers; provider charges may apply.","Windows now. Free download. MIT-licensed code. No account or API key for Local mode. Cloud transcription and AI polish are optional. #TechTok #Privacy","A checklist for Windows availability, free download, MIT-licensed code, no account for Local mode, and optional cloud features.","818095"
"50","tiktok","9","5","conversion","1080","1920","TT_50_Install_Hotkey_Voice_Text.png","TikTok/09_Search_and_Download/TT_50_Install_Hotkey_Voice_Text.png","Install → hotkey → voice → text.","Mumble for Windows uses Ctrl+Win to turn speech into text in the focused text field.","Download Mumble — Free","","Install Mumble for Windows, place the cursor, press Ctrl+Win, and speak. Download Mumble—free. #Mumble #VoiceToText #Windows","A vertical Mumble end card with the app icon, Ctrl plus Win keycap, gold waveform, text cursor, and Free download button.","752832"
